20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||GETNET BR|3061424411.28|3070584448.53|-0.30|595677396.00|573148253.00|3.93
||GETNINJAS|176288391.63|250620818.87|-29.66|34301357.00|46780307.00|-26.68
*|**|GOL|7496158210.19|7934301683.21|-5.52|1458566800.00|1480998560.00|-1.51
||GP INVEST|188901228.36|205491356.20|-8.07|36755502.00|38356545.00|-4.17
||GPS|10132510192.20|11414092509.00|-11.23|1971535625.00|2130528336.00|-7.46
||GRAZZIOTIN|689964800.60|752580417.37|-8.32|134250068.00|140474935.00|-4.43
||GRENDENE|7587165600.00|8182591200.00|-7.28|1476274585.00|1527343712.00|-3.34
||GRUPO MATEUS|13167702630.84|13499104542.69|-2.45|2562108929.00|2519711902.00|1.68
*|**|GRUPO NATURA|31937386661.55|31316573529.90|1.98|6214224746.00|5845479809.00|6.31
||GRUPO SBF|5567084684.02|6257199066.50|-11.03|1083216851.00|1167954431.00|-7.26
*|**|GRUPO SOMA|10186020901.54|11378836908.50|-10.48|1981947484.00|2123947607.00|-6.69
||GUARARAPES|6100224000.00|6359808000.00|-4.08|1186952563.00|1187107179.00|-0.01
||HABITASUL|465726700.13|411015915.00|13.31|90618885.00|76719288.00|18.12
||HAGA S/A|52518669.16|49464335.55|6.17|10218833.00|9232899.00|10.68
*|**|HAPVIDA|86637048973.08|49267273035.00|75.85|16857424791.00|9196116220.00|83.31
||HBR REALTY|761534679.78|823448068.38|-7.52|148175795.00|153702928.00|-3.60
||HELBOR|467140241.28|575559609.60|-18.84|90893926.00|107432637.00|-15.39
||HERCULES|19043775.70|19213176.20|-0.88|3705447.00|3586287.00|3.32
||HIDROVIAS|2303959408.29|2364790019.73|-2.57|448293460.00|441406283.00|1.56
||HMOBI S.A||||0.00|0.00|
||HOTEIS OTHON|49421785.59|51442750.80|-3.93|9616256.00|9602186.00|0.15
*|**|HYPERA|21219597570.50|19705721803.53|7.68|4128808338.00|3678224849.00|12.25
||IGB S/A|37952553.60|61524403.20|-38.31|7384627.00|11484004.00|-35.70
||IGUA SA|1788508342.87|1788508342.87|0.00|347999444.00|333838866.00|4.24
*|**|IGUATEMI S.A|3109380117.68|2800260621.90|11.04|605008390.00|522690227.00|15.75
||IHPARDINI|2416555077.75|3009888113.10|-19.71|470201790.00|561818814.00|-16.31
||IMC S/A|741697082.70|750288168.60|-1.15|144315890.00|140047069.00|3.05
||IND CATAGUAS||151487057.03||0.00|28276227.00|-100.00
||INDS ROMI|1019341515.80|1246676674.00|-18.24|198338622.00|232701809.00|-14.77
||INEPAR|250092733.60|276056881.60|-9.41|48661854.00|51528145.00|-5.56
||INFRACOMM|4102206662.52|4539441181.20|-9.63|798187855.00|847321682.00|-5.80
||INTELBRAS|10929106629.60|10254227743.00|6.58|2126533570.00|1914030639.00|11.10
||INTER SA||||0.00|0.00|
||INVEST BEMGE|162286606.26|162286606.26|0.00|31576956.00|30292046.00|4.24
||IOCHP-MAXION|2007577989.06|2316554387.07|-13.34|390624974.00|432402730.00|-9.66
